StateName,StateAbbreviation,SiteNameOfficial,SiteCode,PatientPopulation
Benue,BE,Aba Primary Health Centre,AH,1
Benue,BE,Mbaakem Health Centre,AK,1
Benue,BE,Aliade General Hospital,AL,1764
Benue,BE,Abiam Family Support Program Clinic,AM,6
Benue,BE,Aondana Health Clinic,AO,354
Benue,BE,Agbeede Primary Health Center,AQ,213
Benue,BE,Comprehensive Health Center Abor	,AR,7
Benue,BE,Atuna Clinic and Maternity,AT,714
Benue,BE,Anyiin Primary Health Center,AY,554
Benue,BE,Bethesda Hospital - Ikachi,BI,162
Benue,BE,Benue State University Teaching Hospital,BN,757
Benue,BE,Mbasar Primary Health Centre,BP,34
Benue,BE,General Hospital Buruku,BR,1162
Benue,BE,Nongu u Kristu ke Sudan hen Tiv (NKST) Primary Health Center - Biliji,BS,36
Benue,BE,Bonta Family Support Program Clinic,BT,194
Benue,BE,Baki Clinic,BY,6
Benue,BE,Centre Clinic Korinya,CC,2
Benue,BE,Ada Comprehensive Health Center,CCC,8
Benue,BE,Gabriel Suswam Cottage Hospital - Tse Ugbena,CCD,269
Benue,BE,Manyam Primary Health Center,CCJ,95
Benue,BE,Mbaikyo Comprehensive Health Center,CCK,34
Benue,BE,Tse-Kwange Primary Health Center,CCO,7
Benue,BE,Okileme Primary Health Center,CCQ,10
Benue,BE,Onyangede Primary Health Center,CCR,157
Benue,BE,St James Health Centre Ogboju-Ogobia,CCX,68
Benue,BE,St. Theresa Hospital - Otukpo,CCY,7
Benue,BE,Abinisi Primary Health Center,CF,151
Benue,BE,City Hospital,CI,97
Benue,BE,Aso Comprehensive Health Center,CN,70
Benue,BE,Gbem Primary Health Center,CRB,40
Benue,BE,St. Paul's Clinic - Sambe,CRG,178
Benue,BE,Vandeikya Maternal and Child Health Clinic,CRI,3
Benue,BE,Vandeikya Primary Health Center,CRJ,15
Benue,BE,Grace Cottage Hospital,CT,120
Benue,BE,Convenant Clinic,CV,37
Benue,BE,City Clinic,CY,91
Benue,BE,Abeda Primary Health Center,DH,4
Benue,BE,Ada Model,DM,3
Benue,BE,Adikpo General Hospital,DP,4336
Benue,BE,Dooshima Primary Health Centre,DS,90
Benue,BE,Usen Tombo Primary Health Center,EA,27
Benue,BE,European Economic Community Health Clinic,EE,154
Benue,BE,Enugba Primary Health Center,EN,61
Benue,BE,Akpagher Primary Health Center,EQ,336
Benue,BE,Gboko East Comprehensive Health Center,ES,2102
Benue,BE,Ambighir Primary Health Center		,EX,6
Benue,BE,Mbagar Primary Health Center,FG,31
Benue,BE,Afia Comprehensive Health Center,FI,864
Benue,BE,"Federal Medical Center, Makurdi ",FM,8531
Benue,BE,"HTS Federal Medical Center, Markurdi",FMT,6
Benue,BE,St. Francis Primary Health Center,FP,18
Benue,BE,Nongu u Kristu ke Sudan hen Tiv (NKST) - Anyogo Comprehensive Health Center - Gboko East	,FQ,49
Benue,BE,St. Francis Primary Health Center - Agagbe,FR,24
Benue,BE,Makurdi Family Support Program Clinic,FS,811
Benue,BE,May Hospital - Shendam,FV,99
Benue,BE,Atighir Local Government Health Center,GC,139
Benue,BE,St. Gregory Health Center,GG,986
Benue,BE,St. Michael Clinic,GI,2
Benue,BE,Obagaji General Hospital,GJ,96
Benue,BE,General Hospital Naka,GK,1238
Benue,BE,Makurdi General Hospital,GM,3565
Benue,BE,Mbagen Community Hospital - Abwa,GN,1189
Benue,BE,Gwarche Primary Health Centre,GP,102
Benue,BE,Nongu u Kristu ke Sudan hen Tiv (NKST) Comprehensive Health Center - Garagbohol,GR,406
Benue,BE,Tongov Primary Health Centre,GV,60
Benue,BE,Nakar Gwer West Comprehensive Health Center,GW,2383
Benue,BE,Mchia Local Government Health Center,HA,42
Benue,BE,Aboho Primary Health Centre,HB,55
Benue,BE,Gwer East KP One Stop Shop,HI,8
Benue,BE,Nongu u Kristu ke Sudan hen Tiv (NKST) Health Center - Uchi,HI,59
Benue,BE,Tse Akeme Primary Health Center,HJ,1
Benue,BE,Hope Hospital,HL,93
Benue,BE,Nongu u Kristu ke Sudan hen Tiv (NKST) Hospital - Anyiin,HN,2294
Benue,BE,Anonghul Primary Health Center,HU,23
Benue,BE,Ijadoga Otukpa General Hospital,JA,1
Benue,BE,Jordan Clinic and Maternity,JC,395
Benue,BE,Jirgba Primary Health Center,JI,231
Benue,BE,NKST Hospital Jato-Aka,JT,1112
Benue,BE,Jumota Health Clinic Tsuwe,JW,75
Benue,BE,Jolua Hospital,JX,61
Benue,BE,Kur Primary Health Center,KC,40
Benue,BE,King Cross Clinic and Maternity,KG,66
Benue,BE,Tse-Akiishi Primary Health Center,KI,92
