StateName,StateAbbreviation,SiteNameOfficial,SiteCode,PatientPopulation
Benue,BE,Aba Primary Health Centre,AH,1
Benue,BE,Abiam Family Support Program Clinic,AM,14
Benue,BE,Aondana Health Clinic,AO,29
Benue,BE,Atuna Clinic and Maternity,AT,1228
Benue,BE,Anyiin Primary Health Center,AY,1108
Benue,BE,Mbaier Health Centre,BE,1
Benue,BE,Benue State University Teaching Hospital,BN,878
Benue,BE,General Hospital Buruku,BR,1628
Benue,BE,Bonta Family Support Program Clinic,BT,33
Benue,BE,Aso Comprehensive Health Center,CN,113
Benue,BE,Adikpo General Hospital,DP,5
Benue,BE,Dooshima Primary Health Centre,DS,7
Benue,BE,Gboko East Comprehensive Health Center,ES,4100
Benue,BE,Afia Comprehensive Health Center,FI,1323
Benue,BE,"Federal Medical Center, Makurdi ",FM,12150
Benue,BE,"HTS Federal Medical Center, Markurdi",FMT,6
Benue,BE,Faith Health Clinic - Atoga,FN,1
Benue,BE,Makurdi Family Support Program Clinic,FS,942
Benue,BE,Atighir Local Government Health Center,GC,141
Benue,BE,General Hospital Naka,GK,1671
Benue,BE,Makurdi General Hospital,GM,5081
Benue,BE,Mbagen Community Hospital - Abwa,GN,1671
Benue,BE,Gwarche Primary Health Centre,GP,94
Benue,BE,Nongu u Kristu ke Sudan hen Tiv (NKST) Comprehensive Health Center - Garagbohol,GR,952
Benue,BE,Nakar Gwer West Comprehensive Health Center,GW,4827
Benue,BE,Aboho Primary Health Centre,HB,56
Benue,BE,Nongu u Kristu ke Sudan hen Tiv (NKST) Health Center - Uchi,HI,9
Benue,BE,Nongu u Kristu ke Sudan hen Tiv (NKST) Hospital - Anyiin,HN,6613
Benue,BE,Jordan Clinic and Maternity,JC,730
Benue,BE,Jirgba Primary Health Center,JI,61
Benue,BE,St. Joseph Maternity Clinic - Korinya,JK,1
Benue,BE,Jingir Primary Health Center,JN,1
Benue,BE,Tse-Akiishi Primary Health Center,KI,140
