state,lga,facilityname,datimcode
BENUE,ADO,Igumale General Hospital,RWy8gQx6BBr
BENUE,APA,Ugbokpo General Hospital,fhd28Wdp5gV
BENUE,BURUKU,Adi Comprehensive Health Centre,DbxytJIMUtE
BENUE,BURUKU,Agwabi Primary Health Center,nnocuY5Y1ve
BENUE,BURUKU,Anonghul Primary Health Center,GVwSWUCUWPn
BENUE,BURUKU,Anvambe Primary Health Center,nMO8qFMjftW
BENUE,BURUKU,Anzembe Clinic,x0lTOYyB0Xq
BENUE,BURUKU,General Hospital Buruku,hWsBYXZwHiP
BENUE,BURUKU,Jingir Primary Health Center,R76nShpbpxl
BENUE,BURUKU,Kur Primary Health Center,bIMhLHumVOb
BENUE,BURUKU,Mbagen Community Hospital-Abwa,JVUE6hcwdYf
BENUE,BURUKU,Nongu u Kristu ke Sudan hen Tiv (NKST) Comprehensi,Rf1yYN2IDWc
BENUE,BURUKU,Nongu u Kristu ke Sudan hen Tiv (NKST) Primary Hea,dOnbIETcQXX
BENUE,BURUKU,Sahara Clinic,YqtrJF9sW3U
BENUE,BURUKU,St. Martha's Clinic and Maternity-Ugbema,ylQ6RLXvHHJ
BENUE,BURUKU,Township Clinic,FUKJdEDgVT8
BENUE,BURUKU,Tyowanye Primary Health Centre,kPGQXJlsGON
BENUE,BURUKU,Uga Primary Health Center,bkw7eER1sQg
BENUE,GBOKO,Akpagher Primary Health Center,hd4uvUNJmVb
BENUE,GBOKO,Atume Clinic and Maternity,WMifDMychYH
BENUE,GBOKO,Baki Clinic,I2YSBeACOiz
BENUE,GBOKO,Gboko East Comprehensive Health Center,NKBX6MV18q7
BENUE,GBOKO,Gboko General Hospital,mM8cuGsrg9b
BENUE,GBOKO,Gboko KP One Stop Shop,oY149KIEnUH
BENUE,GBOKO,Helen Clinic and Maternity,W4Td0Rr6gkF
BENUE,GBOKO,Kator Clinic,tYcGecpDRkl
BENUE,GBOKO,Lord Is Saviour Clinic and Maternity,iMjkGLzXZVu
BENUE,GBOKO,Mercy Hospital,UKpHt1NMIzG
BENUE,GBOKO,Myom Hospital-Gboko,KCeTZcNxHny
BENUE,GBOKO,Nongu u Kristu ke Sudan hen Tiv (NKST) Hospital-Mkar,LQY80730nX8
BENUE,GBOKO,Royal Hospital,yMpFDy64jKb
BENUE,GBOKO,Sev-Av Foundation-Gboko,ucA8oXS8NE4
BENUE,GBOKO,St. Luke's Hospital,isxf76zcl0z
BENUE,GBOKO,St. Veronica Health Center,wmDk1IHm8kU
BENUE,GBOKO,Three Brothers Transport Hospital-Gboko,EyvD2SO18Ls
BENUE,GBOKO,Victory Hospital-Gboko,zR7wi1nIM3l
BENUE,GUMA,Abinisi Primary Health Center,aDbNi9qbrTa
BENUE,GUMA,Nongu u Kristu ke Sudan hen Tiv (NKST) Comprehensive Health Center-Isherev,t5kQRj3Oqrp
BENUE,GUMA,St. Michael's Clinic-Agasha,UD9kpV91uHO
BENUE,GUMA,Tugudu Primary Health Center,YlxyMD0zmCn
BENUE,GWER,Aliade General Hospital,OPnJnEYeq1I
BENUE,GWER,Gwer East KP One Stop Shop,GG2GB39VPU2
BENUE,GWER,St. Gregory Health Center,ooVgKxaybti
BENUE,GWER,St. Vincents Hospital,IZyzmuDFVIJ
BENUE,GWER WEST,Aba Health Centre,AXPIJPRXo5s
BENUE,GWER WEST,Abiam Family Support Program Clinic,ZRSpxqpZDVS
BENUE,GWER WEST,Aondana Health Clinic,YLapZuUgSyj
BENUE,GWER WEST,European Economic Community Health Clinic,ugwMUWu3le4
BENUE,GWER WEST,Fr. Mathias Clinic,KWB8RTTIeya
BENUE,GWER WEST,General Hospital Naka,A6vVFRBdTaM
BENUE,GWER WEST,JIMBA PRIMARY HEALTH CENTRE,nn4VvQS8SqP
BENUE,GWER WEST,Jor Maternal and Child Health Clinic,SSj1HfTYnTs
BENUE,GWER WEST,Kwashon Primary Health Centre,oN3LGtxIZlk
BENUE,GWER WEST,Mbaakeem Health Center,Guf2jRM5SyK
BENUE,GWER WEST,Mbaier Health Centre,EJQh7G0WPzD
BENUE,GWER WEST,mbalosu primary health center,CtqZO3PKNim
BENUE,GWER WEST,Mbashija Primary Health Centre,LVwYC7JU75B
BENUE,GWER WEST,Nakar Gwer West Comprehensive Health Center,Nfc7dRyjli0
BENUE,GWER WEST,Onmba Aondo Comprehensive Health Center,Ct8Iraz4Wwz
BENUE,GWER WEST,St. Francis Primary Health Center-Agagbe,mfPtKtcH3hA
BENUE,GWER WEST,Tongov Primary Health Center,eeMmUo80f1k
BENUE,KATSINA-ALA,Abakor Primary Health Care,ZBXG7XEJ03X
BENUE,KATSINA-ALA,Adikpo Katsina-Ala Primary Health Centre,VJPhKVM98uw
BENUE,KATSINA-ALA,Amafor Primary Health Center,ShOkkjO7q4d
BENUE,KATSINA-ALA,Convenant Clinic,fj8v2Srxtyx
BENUE,KATSINA-ALA,Dooter Clinic,SAvDO8AVdFH
BENUE,KATSINA-ALA,Gbise Primary Health Centre,iltm59K9ug3
BENUE,KATSINA-ALA,Gbor Comprehensive Health Center,UWfo9Vcmg6t
BENUE,KATSINA-ALA,General Hospital Katsina Ala,qoDgsyKHeoI
BENUE,KATSINA-ALA,Igbabaka Primary Health Centre,Jpn6N6zqMLg
BENUE,KATSINA-ALA,Ikpaukur Local Government Health Center,rQOXT4Cy2Pj
BENUE,KATSINA-ALA,Mba Agberabu Primary Health Centre,f9pNjCTIkeV
BENUE,KATSINA-ALA,Mbasar Primary Health Centre,dXAyAAaM53N
BENUE,KATSINA-ALA,Mbaton Primary Health Center,m71YCQ1vobL
BENUE,KATSINA-ALA,Mbatyula Local Goverment Health Centre,j1d80tpRRRb
BENUE,KATSINA-ALA,Nagu Primary Health Centre,Bx2hbPaU0O1
BENUE,KATSINA-ALA,Nahuta Hospital,yRpzCa8G6SZ
BENUE,KATSINA-ALA,Ndele Primary Health Center,SBpTQMTj2D6
BENUE,KATSINA-ALA,Nguher Clinic,voNNZ57SXoP
BENUE,KATSINA-ALA,Nongu u Kristu ke Sudan hen Tiv (NKST) Hospital-Sai,x9AGFcyHbas
BENUE,KATSINA-ALA,Nongu u Kristu ke Sudan hen Tiv (NKST) Primary Health Center-Anber,fqQMHzXeExZ
BENUE,KATSINA-ALA,Nongu u Kristu ke Sudan hen Tiv (NKST) Primary Health Center-Kasar,bD3Z7sBYAkk
BENUE,KATSINA-ALA,Numbeve Primary Health Centre,iBE2tO1KDku
BENUE,KATSINA-ALA,Nyitar Local Government Health Center,U929QXtAK0i
BENUE,KATSINA-ALA,Salem Clinic-Gbor,W0z2Y4xAH3N
BENUE,KATSINA-ALA,Seafa Clinic and Maternity,Xoj1RSPZgNb
BENUE,KATSINA-ALA,St. Mary's Primary Health Center-Tor Donga,ph0DmxOzLrH
BENUE,KATSINA-ALA,Tarvachan Comprehensive Health Center,jGti2H2XezH
BENUE,KATSINA-ALA,Tordonga Primary Health Center,W5NNtTAwz9t
BENUE,KATSINA-ALA,World Health System Sai,GCOrXvJq3Aq
BENUE,KONSHISHA,Agbeede Primary Health Center,OK3KBevBxuF
BENUE,KONSHISHA,Agidi Primary Health Centre,Vwphz4aVBkw
BENUE,KONSHISHA,Akputu Primary Health Center,xf0d6Ievr0Y
BENUE,KONSHISHA,Bonta Family Support Program Clinic,A0oG89zfO3P
BENUE,KONSHISHA,Dio Primary Health Center,RaK8oHAcaJx
BENUE,KONSHISHA,El Shaddai Clinic-Achocho,rkmUcjVWIEG
BENUE,KONSHISHA,Hope Hospital-Gungul,Kx8nR3Z0zoJ
BENUE,KONSHISHA,Igbughul Primary Health Center,oR3iWfmLDLd
BENUE,KONSHISHA,Ikumbur Memorial Clinic,ugvUhWcPhsa
BENUE,KONSHISHA,Jirgba Primary Health Center,ADRcchaSF89
BENUE,KONSHISHA,Korinya Primary Health Center,zOFJx0iZI6j
BENUE,KONSHISHA,Leke Clinic and Maternity,YMwV767vaxO
BENUE,KONSHISHA,Luter Health Clinic,fZtEYsSUToC
BENUE,KONSHISHA,Mhen Clinic and Maternity Jov-Mbavaa,Hb4aAEXMUMh
BENUE,KONSHISHA,Mimi Clinic and Maternity,t8yzGeF3QOZ
BENUE,KONSHISHA,Mimidoo Clinic and Maternity-Gungul,uE7DozqVDx3
BENUE,KONSHISHA,Nongu u Kristu ke Sudan hen Tiv (NKST) Clinic-Is,tmdPeVe2bj9
BENUE,KONSHISHA,Nyam Ugbeh Clinic,DbQwJh2aSqj
BENUE,KONSHISHA,Royal Clinic and Maternity Wuese,lT0dFPuROo5
BENUE,KONSHISHA,St. Joseph Maternity Clinic-Korinya,KLG4R1DqCDW
BENUE,KONSHISHA,Tse Agberagba General Hospital,lme06fE8INv
BENUE,KONSHISHA,Tse-Agbaragba Primary Health Center,VBS2KAxTWl8
BENUE,KONSHISHA,Tyoate Comprehensive Health Center,ES15z3zgFpM
BENUE,KONSHISHA,Uboagere Comprehensive Health Center,jUhaJSvsg2f
BENUE,KONSHISHA,Usaka Health Clinic Tsuwe,lS9OJNmawzr
BENUE,KWANDE,36 Matyrs Clinic- Mbape,T8MofW5CkkU
BENUE,KWANDE,Adikpo General Hospital,mvMjGraGxvu
BENUE,KWANDE,Avaa Gbande Memorial Clinic and Maternity,kDvVOaWbp0s
BENUE,KWANDE,Gabriel Suswam Cottage Hospital-Tse Ugbena,G9RIOzlKB5n
BENUE,KWANDE,Holy Child Clinic and Maternity,ecDDJ8UV2tN
BENUE,KWANDE,Icheen Clinic and Maternity,Ma9SyRevcp3
BENUE,KWANDE,Manyam Primary Health Center,lgXwl4gfzgN
BENUE,KWANDE,Nongu u Kristu ke Sudan hen Tiv (NKST) Hospital-Jato Aka,NrQyKoUUTjl
BENUE,KWANDE,Nongu u Kristu ke Sudan hen Tiv (NKST) Primary Health Center-Ahobee,vhponVEgOwi
BENUE,KWANDE,St. Monica's Hospital-Adikpo,ZOw5RCxEDrh
BENUE,LOGO,Abeda Primary Health Center,Awp6evwdKBu
BENUE,LOGO,Abeda shitile Primary Health Centre,H9hiuwR1BNn
BENUE,LOGO,Akaa Primary Health Center,BIf4NpUc9tv
BENUE,LOGO,Akumator Health Centre,cePHHjZCGUB
BENUE,LOGO,Anyiin Primary Health Center,pwlvjbtM5oM
BENUE,LOGO,Ayilamo Primary Health Center,zBp4fj9LC7v
BENUE,LOGO,Central Hospital Anyiin,SLUh7AIPl3P
BENUE,LOGO,Doodoo Clinic,CbpO0v7XB53
BENUE,LOGO,Dooshima Primary Health Center,Sg1lTBErQMf
BENUE,LOGO,Farmter Clinic Abeda,r2lBjhZUg8j
BENUE,LOGO,Gboragayo Primary Health Centre,emodKJruXyL
BENUE,LOGO,Gonduzua Primary Health Center,LAyyrDvKqGe
BENUE,LOGO,Ikyo Primary Health Center,p744o3LL0jI
BENUE,LOGO,Iorza Primary Health Center,zBwxOyfTqwm
BENUE,LOGO,LGHC IGBOUGHUL 1,bsw3naXOOX1
BENUE,LOGO,Live Clinic,RCVEsesYe2Z
BENUE,LOGO,Maranatha Clinic Ugba,mmlEZKqZ9Ag
BENUE,LOGO,Mchia Local Government Health Center,TOL2FI5yOWq
BENUE,LOGO,Nongu u Kristu ke Sudan hen Tiv (NKST) Hospital-Anyiin,VqKuYd50P6Z
BENUE,LOGO,Tordoo Clinic,wPBzr3bpuFY
BENUE,LOGO,Ugba Comprehensive Health Center,QQLKjN6lqf7
BENUE,LOGO,Ugba General Hospital,bTwuESPkfSO
BENUE,LOGO,Uzer Local Government Health Center,ejgzakpM81n
BENUE,LOGO,Wende Primary Health Center,MYMZKfW4a4F
BENUE,LOGO,Zamzam Primary Health Center,IxCvwERm4RC
BENUE,MAKURDI,Asaisa Primary Health Centre,rLuGqHLz5O0
BENUE,MAKURDI,Ayaka Primary Health Centre,oDccjROEjrd
BENUE,MAKURDI,be Madonna Hospital,wGplUjLqgbW
BENUE,MAKURDI,Benue State University Teaching Hospital,AgRjHcsC4wf
BENUE,MAKURDI,Bishop Murray Medical Center,xbHk6A9M5Ah
BENUE,MAKURDI,City Hospital,P82OYKREDEj
BENUE,MAKURDI,Federal Medical Center-Makurdi,EA0gMmZjNn6
BENUE,MAKURDI,Grace Cottage Hospital,LBAGrpkYXFZ
BENUE,MAKURDI,Hemko Hospital,s9bl6apI0dc
BENUE,MAKURDI,Hope Hospital,aITz5usak9o
BENUE,MAKURDI,Immaculate Hospital,baLNc1OTsyV
BENUE,MAKURDI,Jolua Hospital,OvrEXmiUvLy
BENUE,MAKURDI,King Cross Clinic and Maternity,LU9X6cRfdAJ
BENUE,MAKURDI,KPIF_Makurdi OSS,FJ3vUFiJ6hq
BENUE,MAKURDI,Makurdi Family Support Program Clinic,dWMSkFIYteW
BENUE,MAKURDI,Makurdi KP One Stop Shop,EH08kwk1foy
BENUE,MAKURDI,Multicare Hospital,yNRTTH6Bi6I
BENUE,MAKURDI,NorthBank General Hospital,XAGjhppjhh3
BENUE,MAKURDI,Queens Clinic,dYTwhf3cV9I
BENUE,MAKURDI,Rahama Clinic and Maternity,Km93XCNZYCr
BENUE,MAKURDI,Sandra Hospital,CIb6wzAz9SW
BENUE,MAKURDI,Ushakaa Hospital,FuHdYbMsHCb
BENUE,MAKURDI,Yima Hospital,LKbSI2dBhSa
BENUE,OBI,Obarike-Ito General Hospital,Z4g8qfFBRMq
BENUE,OGBADIBO,Ijadoga Otukpa General Hospital,qcPZlA9yzPu
BENUE,OHIMINI,Idekpa General Hospital,rjusKH8sGh2
BENUE,OJU,Bethesda Hospital-Ikachi,rEQ6l5PTFp8
BENUE,OJU,Oju General Hospital,emFu7t4hkIR
BENUE,OKPOKWU,Holy Name Clinic-Ugbokolo,jkTZCfjUJSI
BENUE,OKPOKWU,Okopga General Hospital,WqanRoYZhre
BENUE,OKPOKWU,St. Mary's Hospital-Okpoga,BX3EuUL4p5y
BENUE,OTUKPO,Ihotu Clinic And Maternity,G1I22uSE1YC
BENUE,OTUKPO,May Memorial Hospital,ElnOS6Ya1ox
BENUE,OTUKPO,Otia Hospital-Otukpo,UPUz4QHOmfd
BENUE,OTUKPO,Otukpo Comprehensive Health Center,xDrZUl3o7DR
BENUE,OTUKPO,Otukpo KP One Stop Shop,qNdmOBdGQhk
BENUE,OTUKPO,Oturkpo General Hospital,sjKFIaqLXzI
BENUE,OTUKPO,Salem Hospital,WCzlcV9pGtM
BENUE,OTUKPO,Sev-Av Foundation-Otukpo,U69eo6GL6P1
BENUE,OTUKPO,St. Charles' Hospital,jwRjWD3wLjp
BENUE,OTUKPO,St. Daniel Hospital,hs46vwSoags
BENUE,OTUKPO,St. Joseph's Hospital-Ogobia,sIqd320H5pa
BENUE,TARKA,Aboho Primary Health Centre,PyyoRwjaZ6Z
BENUE,TARKA,Aso Comprehensive Health Center,kexwjLUlsZy
BENUE,TARKA,Asukunya Primary Health Center,InmLlQBslD6
BENUE,TARKA,Atighir Local Government Health Center,UPvsRuG3lnz
BENUE,TARKA,Gwarche Primary Health Centre,uPRX8ftEmL5
BENUE,TARKA,Kpe-Ambila Primary Health Centre,G5eD8nBMRPO
BENUE,TARKA,Nongu u Kristu ke Sudan hen Tiv (NKST) Clinic-Wannune,aUsI0GxqwfK
BENUE,TARKA,Nongu u Kristu ke Sudan hen Tiv (NKST) Health Center-Uchi,UbFbAGiSBNv
BENUE,TARKA,St. Christopher Health Clinic-Wannune,zJseTdMM6Ph
BENUE,TARKA,St. Michaels Clinic,SNb8IS5SukA
BENUE,TARKA,Tiortyu Local Government Health Center,nV2DKeGv8AQ
BENUE,TARKA,Township Clinic-Wannune,RlGe0zMvrra
BENUE,TARKA,Tse-Akiishi Primary Health Center,jUXd98nF6tO
BENUE,TARKA,Tse-Tiah Primary Health Centre,ZTPVFq6u1nN
